Province,Month,Year,Region,Region Encode,Latitude,Longitude,Average Temperature,Max Temperature,Min Temperature,Total Precipitation,Relative Humidity,Wind Speed,Wind Direction,Surface Pressure,Solar Radiation,Soil Moisture
Bình Thuận,1,2011,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,23.62,28.43,18.23,0.4,78.92,4.39,47.5,99.22,16.3,0.7
Bình Thuận,2,2011,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.06,29.8,18.87,0.0,77.61,4.23,68.0,99.22,21.66,0.62
Bình Thuận,3,2011,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.72,32.11,20.69,0.62,73.47,5.18,59.7,99.15,17.54,0.57
Bình Thuận,4,2011,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.61,32.9,20.74,1.07,74.42,3.81,80.3,99.14,21.82,0.53
Bình Thuận,5,2011,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,27.29,32.97,23.55,7.31,82.52,2.67,221.6,99.02,20.4,0.53
Bình Thuận,6,2011,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.32,30.46,23.46,5.93,87.3,4.18,250.4,98.91,19.3,0.61
Bình Thuận,7,2011,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.94,30.22,23.23,6.62,88.6,4.03,254.2,98.92,18.83,0.64
Bình Thuận,8,2011,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.07,30.06,23.27,5.92,88.35,3.38,251.3,98.97,20.58,0.69
Bình Thuận,9,2011,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.89,29.56,23.04,6.81,89.14,4.47,253.6,98.97,17.01,0.73
Bình Thuận,10,2011,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.62,30.15,22.61,4.78,87.69,3.63,46.4,99.06,17.45,0.77
Bình Thuận,11,2011,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.36,30.7,21.26,4.58,84.33,3.7,51.9,99.08,16.68,0.77
Bình Thuận,12,2011,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.3,29.31,18.75,0.68,79.21,4.63,47.4,99.19,14.46,0.71
Bình Thuận,1,2012,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.25,29.41,19.68,0.6,79.17,4.52,57.0,99.23,16.63,0.64
Bình Thuận,2,2012,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.97,30.96,20.26,1.49,79.04,3.74,68.6,99.13,20.49,0.58
