Province,Year,Month,Tree Cover Loss,Green House Gas,Index Of Industrial Production,Area,Average Population,Population Density
An Giang,2011,1,5.575361253243448,3113.2985415027074,8.64427574756345,3536.7,2097.5,593.1
An Giang,2011,2,6.928203942637392,2431.7075401172756,9.802582650527125,3536.7,2097.5,593.1
An Giang,2011,3,6.4146539560952585,2398.1677123390973,7.741874966858605,3536.7,2097.5,593.1
An Giang,2011,4,6.101585611548827,2399.90387735308,8.848988798906737,3536.7,2097.5,593.1
An Giang,2011,5,5.062278246546682,2532.7234913564253,9.124148142866618,3536.7,2097.5,593.1
An Giang,2011,6,5.062221613136004,2775.1031576155674,7.202596743962923,3536.7,2097.5,593.1
An Giang,2011,7,4.832329231307246,2673.0888634742755,9.17740002069245,3536.7,2097.5,593.1
An Giang,2011,8,6.729710440049812,2518.420051186374,7.639281112697099,3536.7,2097.5,593.1
An Giang,2011,9,6.107353477246165,2870.8358258089665,7.268064638801634,3536.7,2097.5,593.1
An Giang,2011,10,6.358487187213415,2351.639189431104,10.378767663717776,3536.7,2097.5,593.1
An Giang,2011,11,4.744282233424533,2519.4263383852067,10.437707892870181,3536.7,2097.5,593.1
An Giang,2011,12,6.9732746075512155,2601.002671429918,9.884311620535394,3536.7,2097.5,593.1
An Giang,2012,1,5.201055900488022,1604.3409042568517,8.68092128770856,3536.7,2077.9,587.5
An Giang,2012,2,6.463074652727829,1253.10432706428,9.84413858263016,3536.7,2077.9,587.5
An Giang,2012,3,5.984002164618352,1235.8206271848944,7.774694973783582,3536.7,2077.9,587.5
An Giang,2012,4,5.691951858512719,1236.7153054534065,8.886502175821555,3536.7,2077.9,587.5
An Giang,2012,5,4.722419041240935,1305.1597340209025,9.16282799839455,3536.7,2077.9,587.5
An Giang,2012,6,4.722366209949582,1430.0625044285148,7.233130597328757,3536.7,2077.9,587.5
An Giang,2012,7,4.507907796462541,1377.4926327223573,9.216305626055725,3536.7,2077.9,587.5
An Giang,2012,8,6.2779071351537725,1297.7889040698094,7.671666195134344,3536.7,2077.9,587.5
An Giang,2012,9,5.697332494951462,1479.3953369239769,7.298876029168667,3536.7,2077.9,587.5
An Giang,2012,10,5.9316061867730925,1211.8436100370577,10.422766207746724,3536.7,2077.9,587.5
An Giang,2012,11,4.42577188866074,1298.307462663852,10.48195630127142,3536.7,2077.9,587.5
An Giang,2012,12,6.505119470460955,1340.3452711740954,9.92621402495594,3536.7,2077.9,587.5
An Giang,2013,1,0.8569335189551406,599.9899707607632,8.558769487224858,3536.7,2051.6,580.1
An Giang,2013,2,1.0648655602628987,468.63483101414056,9.705618808953375,3536.7,2051.6,580.1
An Giang,2013,3,0.98593288179818,462.17108845309565,7.665294950700323,3536.7,2051.6,580.1
An Giang,2013,4,0.9378142494836256,462.50567942858,8.761457586105491,3536.7,2051.6,580.1
An Giang,2013,5,0.7780726153340592,488.10246536477814,9.033895146634777,3536.7,2051.6,580.1
An Giang,2013,6,0.7780639107738168,534.8134912857403,7.1313510861093095,3536.7,2051.6,580.1
